source_uri,source_label,selected_uri,selected_label,confidence,method,reason
http://my-company.com/s1000d/S1000DBIKE-AAA-D00-0-0-022,Mountain bicycle - Business rules,,,0.95,llm_rejected,"Schritt-für-Schritt Analyse:

1. QUELL-KONZEPT: 'Mountain bicycle - Business rules' ist ein Regelwerk/Dokumentationsknoten in S1000D (AAA > D00 > 0 > 0 > 022), NICHT eine physische Komponente oder Entität.

2. KANDIDAT 0 (FrontDerailleur): Physische Komponente (Umwerfer). KEINE funktionale Äquivalenz - Business Rules ≠ Fahrradteil.

3. KANDIDAT 1 (Frame): Physische Komponente (Rahmen). KEINE funktionale Äquivalenz - Business Rules ≠ Fahrradteil.

4. KANDIDAT 2 (Bike): Repräsentiert das gesamte Fahrrad als Entität. Könnte theoretisch Mountain Bikes umfassen, aber 'Bike' ist generisch und repräsentiert NICHT spezifisch 'Business Rules' oder 'Mountain bicycle'. KEINE funktionale Äquivalenz.

5. KANDIDAT 3 (CommonPart): Abstrakte Klasse für Fahrradteile. KEINE funktionale Äquivalenz - Business Rules sind keine Komponente.

6. KANDIDAT 4 (Problem): Beschreibt Probleme/Fehler am Fahrrad. KEINE funktionale Äquivalenz - Business Rules sind keine Problembeschreibung.

KERNPROBLEM: Das Quell-Konzept ist ein DOKUMENTATIONS-/REGELKNOTEN (Business rules), während alle Kandidaten entweder physische Komponenten, abstrakte Komponentenklassen oder Problemkategorien sind. Keiner repräsentiert Geschäftsregeln oder Dokumentationsstrukturen. Die Ziel-Ontologie scheint keine Entsprechung für Meta-Dokumentationskonzepte zu haben."
http://my-company.com/s1000d/S1000DBIKE-AAA-D00-0-0-041,Bicycle - Description of how it is made,http://purl.org/ontology/bikeo#Bike,Bike,0.95,llm_reranking,"SCHRITT-FÜR-SCHRITT ANALYSE:

1. QUELL-KONZEPT VERSTEHEN:
- Label: 'Bicycle - Description of how it is made'
- Kontext beschreibt ein Fahrrad als Ganzes: 'a frame and a number of movable components with mechanical parts'
- Hierarchie: S1000DBIKE > AAA > D00 > 0 > 0 > 041
- Funktionale Bedeutung: Das gesamte Fahrrad als Produkt/Objekt

2. KANDIDATEN-ANALYSE:

KANDIDAT 0 (Frame):
- Hierarchie: CommonPart > CommonPartArea > Frame
- Ist nur EINE KOMPONENTE des Fahrrads (Rahmen)
- KEINE funktionale Äquivalenz: Teil ≠ Ganzes
- Ablehnung: Hierarchisch untergeordnet

KANDIDAT 1 (Bike):
- Hierarchie: Bike (Top-Level)
- Definition: 'A bike or bicycle is a two-wheeled steerable machine that is pedaled'
- EXAKTE funktionale Äquivalenz: Repräsentiert das gesamte Fahrrad
- sameAs: vso:Bicycle bestätigt semantische Gleichheit
- MATCH: Gleiche Entität, gleiche hierarchische Ebene (Gesamtobjekt)

KANDIDAT 2 (Motor):
- Hierarchie: CommonPart > Motor
- Ist eine spezifische Komponente (E-Bike Motor)
- KEINE Äquivalenz: Spezielle Komponente ≠ Gesamtfahrrad
- Ablehnung: Zu spezifisch, nur für E-Bikes

KANDIDAT 3 (Battery):
- Hierarchie: CommonPart > Battery
- Ist eine Komponente (Batterie für E-Bikes)
- KEINE Äquivalenz: Komponente ≠ Gesamtfahrrad
- Ablehnung: Teil des Systems, nicht das System selbst

KANDIDAT 4 (FrontDerailleur):
- Hierarchie: CommonPart > FrontDerailleur
- Ist eine spezifische mechanische Komponente
- KEINE Äquivalenz: Einzelteil ≠ Gesamtfahrrad
- Ablehnung: Zu granular, nur ein Mechanismus

3. VERGLEICHENDE BEWERTUNG:
- Kandidat 1 ist der EINZIGE, der das Fahrrad als Ganzes repräsentiert
- Alle anderen sind Komponenten/Teile (hierarchisch untergeordnet)
- Kandidat 1 hat explizite semantische Verknüpfung (sameAs: vso:Bicycle)
- Funktionale Äquivalenz ist klar gegeben

4. ENTSCHEIDUNG:
Kandidat 1 (Bike) ist der klare Match mit hoher Sicherheit."
http://my-company.com/s1000d/S1000DBIKE-AAA-D00-0-0-042,Bicycle - Description of function,http://purl.org/ontology/bikeo#Bike,Bike,0.92,llm_reranking,"KANDIDAT 0 'Bike' ist der beste Match. ANALYSE: Das Quell-Konzept 'Bicycle - Description of function' ist ein übergeordnetes Dokument, das die gesamte Fahrrad-Entität und ihre Hauptkomponenten (Frame, Wheel) beschreibt. KANDIDAT 0: 'Bike' repräsentiert die vollständige Fahrrad-Entität auf oberster Ebene, mit explizitem sameAs zu vso:Bicycle. Dies ist funktional äquivalent zum Quell-Konzept, das das gesamte Fahrrad beschreibt. KANDIDAT 1 'ChainArea': Ist nur ein spezifischer Teilbereich (CommonPart > CommonPartArea > ChainArea), nicht das gesamte Fahrrad - KEIN MATCH. KANDIDAT 2 'Frame': Ist nur eine Komponente (CommonPart > CommonPartArea > Frame), wird im Quell-Konzept als Teil erwähnt, aber ist nicht das Gesamtfahrrad - KEIN MATCH. KANDIDAT 3 'Battery': Ist eine spezifische E-Bike-Komponente, nicht relevant für die allgemeine Fahrradbeschreibung - KEIN MATCH. KANDIDAT 4 'Fork': Ist nur die Vorderradgabel, eine einzelne Komponente - KEIN MATCH. Kandidat 0 ist der einzige, der die gleiche hierarchische Ebene (Gesamtfahrrad) und funktionale Äquivalenz (vollständige Fahrrad-Entität) aufweist."
http://my-company.com/s1000d/S1000DBIKE-AAA-D00-0-0-043,Bicycle - Description attributed to crew,,,0.0,llm_rejected,Parse error: No JSON found in response
http://my-company.com/s1000d/S1000DBIKE-AAA-D00-0-0-121,Bicycle - Pre-operation procedures (crew),,,0.95,llm_rejected,"Schritt-für-Schritt Analyse:

1. QUELL-KONZEPT: 'Bicycle - Pre-operation procedures (crew)' ist eine PROZEDUR/AKTIVITÄT für Wartungs- und Inspektionsaufgaben vor dem Betrieb. Der Kontext beschreibt spezifische Prüfschritte (Bremsen prüfen, Bremsbeläge untersuchen, hydraulisches Bremssystem testen).

2. KANDIDATEN-ANALYSE:

KANDIDAT 0 (ChainArea): Physische KOMPONENTE - Strukturteil mit Kette und vorderem Schaltwerk. KEINE funktionale Äquivalenz zu einer Prozedur.

KANDIDAT 1 (Frame): Physische KOMPONENTE - Hauptrahmen des Fahrrads. KEINE funktionale Äquivalenz zu einer Prozedur.

KANDIDAT 2 (Battery): Physische KOMPONENTE - Wiederaufladbare Batterie für E-Bikes. KEINE funktionale Äquivalenz zu einer Prozedur.

KANDIDAT 3 (Motor): Physische KOMPONENTE - Elektromotor für E-Bikes. KEINE funktionale Äquivalenz zu einer Prozedur.

KANDIDAT 4 (FrontDerailleur): Physische KOMPONENTE - Vorderes Schaltwerk. KEINE funktionale Äquivalenz zu einer Prozedur.

3. FUNDAMENTALES PROBLEM: Das Quell-Konzept ist eine PROZEDUR/AKTIVITÄT (Pre-operation procedures), während ALLE Kandidaten physische KOMPONENTEN/TEILE sind. Dies ist ein kategorialer Mismatch.

4. HIERARCHIE: Die Ziel-Ontologie scheint nur physische Komponenten zu modellieren (CommonPart-Hierarchie), keine Prozeduren oder Aktivitäten.

5. ENTSCHEIDUNG: NULL - Keiner der Kandidaten repräsentiert eine Prozedur oder Aktivität. Funktionale Äquivalenz ist nicht gegeben."
http://my-company.com/s1000d/S1000DBIKE-AAA-D00-0-0-131,Bicycle - Normal operation procedures (crew),,,0.95,llm_rejected,"Schritt-für-Schritt Analyse:

1. QUELL-KONZEPT: 'Bicycle - Normal operation procedures (crew)' ist ein PROZEDURALES Konzept - es beschreibt Wartungs- und Inspektionsverfahren (Pads, Levers, Cables, Tires, Wheels, Spokes prüfen). Dies ist eine ANLEITUNG/PROZEDUR, keine physische Komponente.

2. KANDIDAT 0 (Frame): Physische Komponente - Hauptrahmen des Fahrrads. KEINE funktionale Äquivalenz zu Betriebsverfahren.

3. KANDIDAT 1 (Bike): Repräsentiert das gesamte Fahrrad als Objekt/Maschine. KEINE Prozedur, sondern das physische Produkt selbst.

4. KANDIDAT 2 (CommonPart): Allgemeine Klasse für Fahrradteile. KEINE Prozedur, sondern Komponenten-Kategorie.

5. KANDIDAT 3 (Problem): Beschreibt mögliche Probleme am Fahrrad. Zwar verwandt mit Wartung, aber NICHT die Betriebsverfahren selbst. Problem ≠ Procedure.

6. KANDIDAT 4 (ChainArea): Spezifische physische Komponente (Kette, Umwerfer). KEINE Prozedur.

KERNPROBLEM: Das Quell-Konzept ist ein PROZEDURALES/OPERATIONALES Konzept (Checkliste für normale Betriebsabläufe), während ALLE Kandidaten entweder physische Komponenten (0,2,4), das Produkt selbst (1) oder Problemkategorien (3) sind. Es fehlt eine Ziel-Klasse für 'Procedures', 'Operations' oder 'Maintenance Tasks'. Keine funktionale Äquivalenz vorhanden."
http://my-company.com/s1000d/S1000DBIKE-AAA-D00-0-0-151,Bicycle - Post-operation procedures (crew),,,0.95,llm_rejected,"Schritt-für-Schritt Analyse:

1. QUELL-KONZEPT: 'Bicycle - Post-operation procedures (crew)' ist ein PROZEDURALES Konzept - es beschreibt Wartungsaktivitäten (Reinigen, Schmieren) nach dem Betrieb eines Fahrrads.

2. KANDIDAT 0 (FrontDerailleur): Physische KOMPONENTE (vorderer Umwerfer). Keine funktionale Äquivalenz - ein Bauteil ist keine Wartungsprozedur. NICHT PASSEND.

3. KANDIDAT 1 (Frame): Physische KOMPONENTE (Rahmen). Keine funktionale Äquivalenz - ein Strukturbauteil ist keine Prozedur. NICHT PASSEND.

4. KANDIDAT 2 (Bike): Repräsentiert das GESAMTE Fahrrad als Objekt. Keine funktionale Äquivalenz - das Fahrrad selbst ist nicht die Wartungsprozedur für das Fahrrad. NICHT PASSEND.

5. KANDIDAT 3 (CommonPart): Abstrakte Klasse für KOMPONENTEN. Keine funktionale Äquivalenz - allgemeine Teile-Klasse vs. spezifische Wartungsprozedur. NICHT PASSEND.

6. KANDIDAT 4 (Problem): Klasse für PROBLEME/Fehler. Keine funktionale Äquivalenz - Problembeschreibungen sind nicht Wartungsprozeduren. NICHT PASSEND.

KERNPROBLEM: Das Quell-Konzept ist eine PROZEDUR/AKTIVITÄT (Post-operation procedures), während ALLE Kandidaten entweder physische Komponenten (0,1), Objekte (2), abstrakte Komponentenklassen (3) oder Problemklassen (4) sind. Es gibt keine semantische Übereinstimmung auf der Ebene der Konzepttypen. Die Ziel-Ontologie scheint keine Prozedur- oder Wartungsklassen zu enthalten."
http://my-company.com/s1000d/S1000DBIKE-AAA-D00-0-0-258,Bicycle - Other procedures to clean,,,0.95,llm_rejected,"Schritt-für-Schritt Analyse:

1. QUELL-KONZEPT: 'Bicycle - Other procedures to clean' ist eine PROZEDUR/WARTUNGSANWEISUNG zum Reinigen eines Fahrrads mit spezifischen Sicherheitshinweisen (Augenschutz, kein Hochdruckreiniger, nicht direkt auf Nabe sprühen).

2. KANDIDAT 0 (Frame): Physische KOMPONENTE - Rahmen des Fahrrads. KEINE funktionale Äquivalenz zu einer Reinigungsprozedur. Falsche Kategorie (Objekt vs. Prozess).

3. KANDIDAT 1 (Bike): Repräsentiert das GESAMTE Fahrrad als Objekt. Zwar ist dies das Objekt, das gereinigt wird, aber NICHT die Reinigungsprozedur selbst. Falsche Kategorie (Objekt vs. Prozess).

4. KANDIDAT 2 (Motor): Spezifische KOMPONENTE - Elektromotor für E-Bikes. KEINE Verbindung zu Reinigungsprozeduren. Falsche Kategorie und zu spezifisch.

5. KANDIDAT 3 (CommonPart): Allgemeine Klasse für KOMPONENTEN. Repräsentiert physische Teile, nicht Wartungsprozeduren. Falsche Kategorie.

6. KANDIDAT 4 (Problem): Beschreibt PROBLEME, die ein Fahrrad betreffen können. Eine Reinigungsprozedur ist KEIN Problem, sondern eine präventive Wartungsmaßnahme. Falsche semantische Kategorie.

FAZIT: Alle Kandidaten repräsentieren entweder physische Objekte/Komponenten oder Problemzustände. KEINER repräsentiert Wartungsprozeduren, Reinigungsanweisungen oder Prozesse. Das Quell-Konzept ist eine PROZEDUR (Cleaning Procedure), während alle Kandidaten ENTITÄTEN sind. Fundamentaler kategorialer Mismatch."
http://my-company.com/s1000d/S1000DBIKE-AAA-D00-0-0-330,Bicycle - Place on test stand,,,0.95,llm_rejected,"Schritt-für-Schritt Analyse:

1. QUELL-KONZEPT: 'Bicycle - Place on test stand' ist eine PROZEDUR/AKTION (Fahrrad auf Prüfstand stellen), keine physische Komponente oder Entität.

2. KANDIDAT 0 (Frame): Physische Komponente (Rahmen) - KEINE funktionale Äquivalenz zu einer Prozedur. Frame ist ein Teil, keine Aktion.

3. KANDIDAT 1 (Bike): Physisches Objekt (Fahrrad als Ganzes) - KEINE funktionale Äquivalenz. Dies ist das Objekt, auf das die Aktion angewendet wird, nicht die Aktion selbst.

4. KANDIDAT 2 (Canyon Endurace:ON 7 2022): Spezifisches Fahrradmodell - KEINE funktionale Äquivalenz. Noch spezifischer als Kandidat 1, aber immer noch ein Objekt, keine Prozedur.

5. KANDIDAT 3 (CommonPart): Allgemeine Klasse für Fahrradteile - KEINE funktionale Äquivalenz. Beschreibt Komponenten, nicht Prozeduren.

6. KANDIDAT 4 (Problem): Klasse für Probleme - KEINE funktionale Äquivalenz. 'Place on test stand' ist keine Problembeschreibung, sondern eine Wartungsprozedur.

KERNPROBLEM: Das Quell-Konzept ist eine PROZEDUR/TASK aus der S1000D-Dokumentation (erkennbar am Kontext 'Ensure is level. Place bicycle...'). Alle Kandidaten beschreiben entweder physische Objekte (Bike, Frame, Parts) oder Zustände (Problem). Keiner repräsentiert eine Prozedur oder Aktion.

Für einen validen Match bräuchte man ein Konzept wie 'MaintenanceProcedure', 'TestStandSetup' oder ähnliches in der Ziel-Ontologie."
http://my-company.com/s1000d/S1000DBIKE-AAA-D00-0-0-663,Bicycle - Standard repair procedures,,,0.95,llm_rejected,"Schritt-für-Schritt Analyse:

1. QUELL-KONZEPT: 'Bicycle - Standard repair procedures' ist ein PROZEDURALES Konzept - es beschreibt Reparaturanweisungen (Hinterrad entfernen, Reifenpanne reparieren, Ventil entlüften). Hierarchie: S1000DBIKE > AAA > D00 > 0 > 0 > 663 deutet auf eine Prozedur-Kodierung hin.

2. KANDIDAT 0 (Bike): Repräsentiert das PHYSISCHE OBJEKT 'Fahrrad' selbst, NICHT Reparaturprozeduren. Funktional unterschiedlich: Objekt ≠ Prozess.

3. KANDIDAT 1 (ChainArea): Strukturelle KOMPONENTE (Kettenbereich). Das Quell-Konzept erwähnt zwar 'chain stay', aber es ist eine Reparaturanleitung, keine Komponentendefinition. Funktional inkompatibel.

4. KANDIDAT 2 (FrontDerailleur): Spezifische KOMPONENTE (vorderer Umwerfer). Quell-Konzept fokussiert auf Hinterrad/Reifen-Reparatur, nicht auf Schaltungskomponenten. Falsche Domäne.

5. KANDIDAT 3 (Frame): Strukturelle KOMPONENTE (Rahmen). Erwähnt 'chain stay', aber Quell-Konzept ist über Reparaturprozeduren, nicht über Rahmenstruktur. Funktional unterschiedlich.

6. KANDIDAT 4 (CommonPart): Generische Klasse für KOMPONENTEN. Quell-Konzept ist eine PROZEDUR, keine Komponente.

KERNPROBLEM: Alle Kandidaten sind OBJEKT/KOMPONENTEN-Konzepte aus einer Produkt-Ontologie. Das Quell-Konzept ist ein PROZEDURALES/TASK-Konzept aus einer Wartungsdokumentation. Diese fundamentale kategoriale Inkompatibilität (Objekt vs. Prozess) macht keinen Kandidaten zu einem validen Match.

Keine funktionale Äquivalenz vorhanden."
