source_uri,source_label,selected_uri,selected_label,confidence,method,reason
http://my-company.com/s1000d/S1000DBIKE-AAA-D00-0-0-022,Mountain bicycle - Business rules,,,0.95,llm_rejected,"Schritt-für-Schritt Analyse:

1. QUELL-KONZEPT: 'Mountain bicycle - Business rules' ist ein Regelwerk/Dokumentationsknoten in S1000D (AAA>D00>0>0>022), NICHT eine physische Komponente oder Fahrradtyp.

2. KANDIDAT 0 (Bike): Repräsentiert die physische Entität 'Fahrrad' als Ganzes. KEINE funktionale Äquivalenz - Quelle ist ein Regelwerk, nicht das Fahrrad selbst.

3. KANDIDAT 1 (FrontDerailleur): Eine spezifische Fahrradkomponente (Umwerfer). KEINE Äquivalenz - völlig andere Entität als ein Regelwerk.

4. KANDIDAT 2 (Cannondale SuperSix EVO SE 2022): Ein spezifisches Fahrradmodell. KEINE Äquivalenz - ist eine konkrete Produktinstanz, nicht ein Regelwerk.

5. KANDIDAT 3 (Frame): Eine spezifische Fahrradkomponente (Rahmen). KEINE Äquivalenz - physische Komponente vs. Regelwerk.

6. KANDIDAT 4 (CommonPart): Allgemeine Klasse für Fahrradteile. KEINE Äquivalenz - beschreibt physische Komponenten, nicht Geschäftsregeln.

KERNPROBLEM: Die Quelle ist ein DOKUMENTATIONS-/REGELKNOTEN (Business rules), während alle Kandidaten PHYSISCHE ENTITÄTEN (Fahrräder, Komponenten) oder deren Klassifikationen sind. Es gibt keine funktionale Äquivalenz zwischen einem Regelwerk und physischen Objekten. Die Ziel-Ontologie scheint keine Konzepte für Dokumentationsstrukturen oder Geschäftsregeln zu enthalten."
http://my-company.com/s1000d/S1000DBIKE-AAA-D00-0-0-041,Bicycle - Description of how it is made,http://purl.org/ontology/bikeo#Bike,Bike,0.92,llm_reranking,"Schritt-für-Schritt Analyse:

1. QUELL-KONZEPT: 'Bicycle - Description of how it is made' beschreibt das gesamte Fahrrad als Rahmen mit beweglichen Komponenten und mechanischen Teilen. Der Kontext betont die Gesamtstruktur und Zerlegbarkeit des Fahrrads.

2. KANDIDAT 0 (Bike): Repräsentiert das komplette Fahrrad als zweirädrige, lenkbare Maschine. Dies ist funktional äquivalent zum Quell-Konzept, da beide das GESAMTE Fahrrad beschreiben, nicht nur Teile davon. Die sameAs-Referenz zu vso:Bicycle bestätigt dies.

3. KANDIDAT 1 (Frame): Beschreibt nur die Hauptkomponente (Rahmen), nicht das gesamte Fahrrad. Dies ist ein TEIL-VON-Verhältnis, keine funktionale Äquivalenz. KEIN MATCH.

4. KANDIDAT 2 (ChainArea): Beschreibt einen spezifischen strukturellen Teil (Kettenbereich). Dies ist ebenfalls ein Teil, nicht das Gesamtsystem. KEIN MATCH.

5. KANDIDAT 3 (Motor): Beschreibt eine spezifische Komponente (Elektromotor) für E-Bikes. Dies ist eine optionale Komponente, nicht das Gesamtfahrrad. KEIN MATCH.

6. KANDIDAT 4 (RearDerailleur): Beschreibt eine spezifische Komponente (hintere Schaltung). Dies ist ein mechanisches Teil, nicht das Gesamtsystem. KEIN MATCH.

KANDIDAT 0 ist der einzige, der das GESAMTE Fahrrad repräsentiert und damit funktional äquivalent zum Quell-Konzept ist. Alle anderen sind Komponenten/Teile."
http://my-company.com/s1000d/S1000DBIKE-AAA-D00-0-0-042,Bicycle - Description of function,http://purl.org/ontology/bikeo#Bike,Bike,0.92,llm_reranking,"KANDIDAT 0 'Bike' ist der einzige funktional äquivalente Match. ANALYSE: Das Quell-Konzept 'Bicycle - Description of function' ist ein übergeordnetes Dokument, das die gesamte Fahrrad-Entität und ihre Hauptkomponenten (Frame, Wheel) beschreibt. KANDIDAT 0: 'Bike' repräsentiert exakt die gleiche Entität - das komplette Fahrrad als Ganzes ('two-wheeled steerable machine'). Die sameAs-Referenz zu vso:Bicycle bestätigt dies. KANDIDAT 1-4 sind KEINE Matches: Sie repräsentieren spezifische KOMPONENTEN des Fahrrads (Frame, ChainArea, Saddle, RearDerailleur), nicht das Gesamtsystem. Die Hierarchiepfade zeigen dies deutlich: Alle sind unter 'CommonPart > ...' kategorisiert, also Teile, nicht das Ganze. Das Quell-Konzept erwähnt diese Komponenten nur als BESCHREIBUNG ('Below is a list of the different bicycle components'), ist aber selbst die Fahrrad-Entität. Funktionale Äquivalenz: Nur KANDIDAT 0 repräsentiert das vollständige Fahrrad als eigenständige Entität, während 1-4 hierarchisch untergeordnete Teile sind."
http://my-company.com/s1000d/S1000DBIKE-AAA-D00-0-0-043,Bicycle - Description attributed to crew,http://purl.org/ontology/bikeo#Bike,Bike,0.95,llm_reranking,"KANDIDAT 0 'Bike' ist der einzige funktional äquivalente Match. ANALYSE: Das Quell-Konzept 'Bicycle - Description attributed to crew' ist eine Beschreibung des gesamten Fahrrads und seiner Steuerungssysteme (Steering, Shifters, Brakes, Pedals). KANDIDAT 0 definiert 'Bike' als 'two-wheeled steerable machine that is pedaled' - dies ist exakt die gleiche Entität auf der gleichen hierarchischen Ebene (Gesamtfahrzeug). Die sameAs-Referenz zu vso:Bicycle bestätigt dies. KANDIDAT 1 'Frame' ist nur eine Komponente (CommonPart > CommonPartArea), nicht das Gesamtfahrzeug. KANDIDAT 2 'ChainArea' ist ebenfalls nur ein struktureller Teil. KANDIDAT 3 'Brakes' ist nur ein Subsystem, das im Quelltext erwähnt wird, aber nicht das Hauptkonzept. KANDIDAT 4 'FrontDerailleur' ist eine spezifische Komponente. Alle Kandidaten 1-4 sind hierarchisch untergeordnete Teile, während Kandidat 0 das Gesamtfahrzeug repräsentiert, genau wie die Quelle."
http://my-company.com/s1000d/S1000DBIKE-AAA-D00-0-0-121,Bicycle - Pre-operation procedures (crew),,,0.95,llm_rejected,"Das Quell-Konzept 'Bicycle - Pre-operation procedures (crew)' ist eine PROZEDUR/AKTIVITÄT (Vorflug-Checks für Fahrrad), während alle 5 Kandidaten PHYSISCHE KOMPONENTEN sind: Kandidat 0 (Bike) ist das Gesamtfahrzeug, Kandidat 1 (Frame) ist der Rahmen, Kandidat 2 (ChainArea) ist der Kettenbereich, Kandidat 3 (FrontDerailleur) ist die vordere Schaltung, Kandidat 4 (RearDerailleur) ist die hintere Schaltung. Die Quelle beschreibt Inspektions- und Wartungsschritte (Bremsen prüfen, Bremsbeläge untersuchen, hydraulisches System checken), was eine HANDLUNG ist. Keiner der Kandidaten repräsentiert eine Prozedur, Wartungsaktivität oder Checkliste. Dies ist ein fundamentaler kategorialer Unterschied: Prozess vs. Objekt. Funktionale Äquivalenz ist nicht gegeben."
http://my-company.com/s1000d/S1000DBIKE-AAA-D00-0-0-131,Bicycle - Normal operation procedures (crew),,,0.95,llm_rejected,"Schritt-für-Schritt Analyse:

1. QUELL-KONZEPT VERSTEHEN:
- Label: 'Bicycle - Normal operation procedures (crew)'
- Hierarchie: S1000DBIKE > AAA > D00 > 0 > 0 > 131
- Kontext: Checkliste für normale Betriebsverfahren mit Prüfpunkten (Bremsen, Kabel, Reifen, Räder, Speichen, Achse)
- Funktionale Bedeutung: PROZEDUR/VERFAHREN für Fahrradinspektion, KEINE physische Komponente

2. KANDIDATEN-ANALYSE:

KANDIDAT 0 (Frame):
- Hierarchie: CommonPart > CommonPartArea > Frame
- Typ: Physische Komponente (Hauptrahmen)
- Äquivalenz: NEIN - Quelle ist Prozedur, Kandidat ist Bauteil
- Ausschluss: Kategoriefehler (Prozess vs. Objekt)

KANDIDAT 1 (RearDerailleur):
- Hierarchie: CommonPart > RearDerailleur
- Typ: Physische Komponente (hintere Schaltung)
- Äquivalenz: NEIN - Quelle ist Prozedur, Kandidat ist Bauteil
- Ausschluss: Kategoriefehler (Prozess vs. Objekt)

KANDIDAT 2 (FrontDerailleur):
- Hierarchie: CommonPart > FrontDerailleur
- Typ: Physische Komponente (vordere Schaltung)
- Äquivalenz: NEIN - Quelle ist Prozedur, Kandidat ist Bauteil
- Ausschluss: Kategoriefehler (Prozess vs. Objekt)

KANDIDAT 3 (Specialized S-Works Aethos):
- Hierarchie: Bike > [Spezifisches Fahrradmodell]
- Typ: Konkretes Fahrradprodukt
- Äquivalenz: NEIN - Quelle ist Prozedur, Kandidat ist Produktinstanz
- Ausschluss: Kategoriefehler (Prozess vs. Produkt)

KANDIDAT 4 (Bontrager Pro IsoCore VR-SF):
- Hierarchie: CommonPart > HandlebarGrip > [Spezifischer Griff]
- Typ: Physische Komponente (Lenkergriff)
- Äquivalenz: NEIN - Quelle ist Prozedur, Kandidat ist Bauteil
- Ausschluss: Kategoriefehler (Prozess vs. Objekt)

3. FUNDAMENTALES PROBLEM:
- Quelle: PROZEDUR/VERFAHREN (Betriebsanleitung, Checkliste)
- Alle Kandidaten: PHYSISCHE KOMPONENTEN oder PRODUKTE
- Keine funktionale Äquivalenz möglich zwischen Prozess und Objekt
- Ziel-Ontologie scheint keine Prozedur-/Verfahrensklassen zu enthalten

4. ENTSCHEIDUNG:
KEIN Match möglich - fundamentaler ontologischer Kategoriefehler bei allen Kandidaten."
http://my-company.com/s1000d/S1000DBIKE-AAA-D00-0-0-151,Bicycle - Post-operation procedures (crew),,,0.95,llm_rejected,"Das Quell-Konzept 'Bicycle - Post-operation procedures (crew)' beschreibt einen PROZESS/VERFAHREN (Nachbetriebsverfahren) mit spezifischen Wartungsaktivitäten (Reinigen, Schmieren). KEINER der Kandidaten repräsentiert ein Verfahren oder eine Prozedur:

KANDIDAT 0 (Bike): Repräsentiert das physische Objekt 'Fahrrad' selbst, nicht ein Wartungsverfahren. Hierarchisch: Root-Level Entität.

KANDIDAT 1 (ChainArea): Repräsentiert einen STRUKTURELLEN BEREICH des Fahrrads (Kettenbereich), keine Prozedur. Hierarchie: CommonPart > CommonPartArea.

KANDIDAT 2 (Frame): Repräsentiert eine PHYSISCHE KOMPONENTE (Rahmen), keine Wartungsaktivität. Hierarchie: CommonPart > CommonPartArea.

KANDIDAT 3 (FrontDerailleur): Repräsentiert eine MECHANISCHE KOMPONENTE (vorderer Umwerfer), die zwar im Quelltext erwähnt wird als zu schmierendes Teil, aber nicht das Verfahren selbst ist. Hierarchie: CommonPart.

KANDIDAT 4 (RearDerailleur): Repräsentiert ebenfalls eine KOMPONENTE (hinterer Umwerfer), nicht das Wartungsverfahren. Hierarchie: CommonPart.

FUNKTIONALE ANALYSE: Das Quell-Konzept ist eine PROZEDUR-KLASSE (Post-operation procedures), während alle Kandidaten OBJEKT-KLASSEN (physische Teile/Komponenten) sind. Dies ist ein fundamentaler ontologischer Unterschied. Ein Wartungsverfahren kann nicht mit einer physischen Komponente gleichgesetzt werden.

KONTEXT-ANALYSE: Der Quelltext beschreibt Aktivitäten ('Clean', 'Lubricate', 'Spray', 'Remove'), während die Kandidaten statische Objekte beschreiben.

FAZIT: Keine funktionale Äquivalenz vorhanden. Die Ziel-Ontologie scheint keine Prozedur-/Verfahrensklassen zu enthalten, nur physische Komponenten."
http://my-company.com/s1000d/S1000DBIKE-AAA-D00-0-0-258,Bicycle - Other procedures to clean,,,0.95,llm_rejected,"Das Quell-Konzept 'Bicycle - Other procedures to clean' ist eine PROZEDUR/AKTIVITÄT (Reinigungsverfahren für Fahrräder), während alle 5 Kandidaten PHYSISCHE KOMPONENTEN sind:

- KANDIDAT 0 (Bike): Physisches Objekt - das gesamte Fahrrad
- KANDIDAT 1 (Frame): Physische Komponente - Rahmen
- KANDIDAT 2 (ChainArea): Physische Komponente - Kettenbereich
- KANDIDAT 3 (Tire): Physische Komponente - Reifen
- KANDIDAT 4 (RearDerailleur): Physische Komponente - Schaltwerk

Der Kontext bestätigt dies: Der Quelltext beschreibt Sicherheitshinweise für Reinigungsprozeduren (nicht in Augen bekommen, kein Hochdruckreiniger, nicht direkt auf Nabe richten). Dies ist eine WARTUNGSAKTIVITÄT, keine physische Entität.

Funktionale Äquivalenz ist nicht gegeben: Eine Reinigungsprozedur kann nicht mit einer physischen Komponente gleichgesetzt werden. Die Ziel-Ontologie scheint keine Prozedur-/Aktivitätsklassen zu enthalten, nur Komponenten.

KEINER der Kandidaten repräsentiert das gleiche Konzept wie die Quelle."
http://my-company.com/s1000d/S1000DBIKE-AAA-D00-0-0-330,Bicycle - Place on test stand,,,0.95,llm_rejected,"Das Quell-Konzept 'Bicycle - Place on test stand' beschreibt eine PROZEDUR/AKTIVITÄT (das Platzieren eines Fahrrads auf einem Prüfstand), während alle 5 Kandidaten PHYSISCHE KOMPONENTEN oder das Fahrrad selbst repräsentieren. Detaillierte Analyse: KANDIDAT 0 (Bike): Repräsentiert das Fahrrad als Ganzes, nicht die Aktivität es auf einen Prüfstand zu stellen. KANDIDAT 1 (SeatArea): Eine spezifische Komponente (Sitzbereich), keine Prozedur. KANDIDAT 2 (Frame): Eine strukturelle Komponente (Rahmen), keine Prozedur. KANDIDAT 3 (ChainArea): Eine Komponente (Kettenbereich), keine Prozedur. KANDIDAT 4 (FrontDerailleur): Eine spezifische Komponente (vorderer Umwerfer), keine Prozedur. Die Quelle ist eine Wartungs-/Testprozedur aus S1000D (erkennbar an der Beschreibung 'Place bicycle on the test stand. Tight clamps...'), während die Ziel-Ontologie ausschließlich physische Bike-Komponenten modelliert. Es gibt keine funktionale Äquivalenz zwischen einer Prozedur und physischen Objekten. NULL ist die einzig korrekte Antwort."
http://my-company.com/s1000d/S1000DBIKE-AAA-D00-0-0-663,Bicycle - Standard repair procedures,,,0.95,llm_rejected,"Das Quell-Konzept 'Bicycle - Standard repair procedures' ist ein PROZESS/VERFAHREN (Reparaturanleitung für Reifenpannen), während alle 5 Kandidaten PHYSISCHE KOMPONENTEN/OBJEKTE sind. Spezifische Analyse: KANDIDAT 0 (Bike) - ist das Gesamtobjekt, nicht die Reparaturprozedur. KANDIDAT 1 (ChainArea) - struktureller Bereich, keine Prozedur. KANDIDAT 2 (Frame) - Rahmenkomponente, keine Prozedur. KANDIDAT 3 (FrontDerailleur) - Schaltungskomponente, keine Prozedur. KANDIDAT 4 (RearDerailleur) - Schaltungskomponente, keine Prozedur. Der Quelltext beschreibt explizit einen Reparaturprozess ('repair procedures', 'remove', 'disconnect', 'loosen', 'push'), während alle Kandidaten Fahrradteile beschreiben. Es fehlt ein Kandidat der Klasse 'MaintenanceProcedure' oder 'RepairProcess'. Keine funktionale Äquivalenz gegeben."
