source_uri,source_label,selected_uri,selected_label,confidence,method,reason
http://my-company.com/s1000d/S1000DBIKE-AAA-D00-0-0-022,Mountain bicycle - Business rules,,,0.95,llm_rejected,"Kontextuelle Inkompatibilität auf allen Ebenen. QUELLE: 'Mountain bicycle - Business rules' ist ein DOKUMENTATIONS-KONZEPT im S1000D-Standard (Hierarchiepfad S1000DBIKE > AAA > D00 > 0 > 0 > 022), das"
http://my-company.com/s1000d/S1000DBIKE-AAA-D00-0-0-041,Bicycle - Description of how it is made,http://purl.org/ontology/bikeo#Bike,Bike,0.88,context_aware_full,"KONTEXTUELLE ANALYSE:

QUELL-KONZEPT:
- Label: 'Bicycle - Description of how it is made'
- Hierarchiepfad: S1000DBIKE > AAA > D00 > 0 > 0 > 041
- Struktureller Scope: Beschreibung/Dokumentation (Descr"
http://my-company.com/s1000d/S1000DBIKE-AAA-D00-0-0-042,Bicycle - Description of function,,,0.95,llm_rejected,KONTEXT-INKOMPATIBILITÄT: Das Quell-Konzept 'Bicycle - Description of function' ist ein DOKUMENTATIONS-ABSCHNITT (S1000D Data Module) der die funktionale Beschreibung verschiedener Fahrradkomponenten 
http://my-company.com/s1000d/S1000DBIKE-AAA-D00-0-0-043,Bicycle - Description attributed to crew,,,0.0,llm_rejected,Parse error: No JSON found in response
http://my-company.com/s1000d/S1000DBIKE-AAA-D00-0-0-121,Bicycle - Pre-operation procedures (crew),,,0.95,llm_rejected,"KONTEXTUELLE ANALYSE:

QUELL-KONZEPT:
- Label: 'Bicycle - Pre-operation procedures (crew)'
- Hierarchie: S1000DBIKE > AAA > D00 > 0 > 0 > 121
- Struktureller Scope: PROZEDUR/VERFAHREN (Pre-operation p"
http://my-company.com/s1000d/S1000DBIKE-AAA-D00-0-0-131,Bicycle - Normal operation procedures (crew),,,0.95,llm_rejected,KONTEXTUELLE INKOMPATIBILITÄT: Das Quell-Konzept 'Bicycle - Normal operation procedures (crew)' ist ein PROZEDURALES DOKUMENT (S1000D Data Module) mit Hierarchiepfad S1000DBIKE > AAA > D00 > 0 > 0 > 1
http://my-company.com/s1000d/S1000DBIKE-AAA-D00-0-0-151,Bicycle - Post-operation procedures (crew),,,0.95,llm_rejected,KONTEXTUELLE INKOMPATIBILITÄT: Das Quell-Konzept 'Bicycle - Post-operation procedures (crew)' ist ein PROZESS-Konzept (Wartungsprozedur nach Betrieb) im Kontext S1000D-Dokumentationsstruktur (AAA > D0
http://my-company.com/s1000d/S1000DBIKE-AAA-D00-0-0-258,Bicycle - Other procedures to clean,,,0.95,llm_rejected,"Kontextuelle Inkompatibilität auf allen Ebenen. QUELLE: 'Bicycle - Other procedures to clean' ist ein PROZEDURALER Kontext (Reinigungsverfahren) im Hierarchiepfad S1000DBIKE > AAA > D00 > 0 > 0 > 258,"
http://my-company.com/s1000d/S1000DBIKE-AAA-D00-0-0-330,Bicycle - Place on test stand,,,0.95,llm_rejected,Kontextuelle Analyse: Das Quell-Konzept 'Bicycle - Place on test stand' (S1000DBIKE > AAA > D00 > 0 > 0 > 330) ist eine PROZEDUR/ANWEISUNG im Kontext eines Wartungs- oder Testdokuments. Der Inhalt bes
http://my-company.com/s1000d/S1000DBIKE-AAA-D00-0-0-663,Bicycle - Standard repair procedures,,,0.95,llm_rejected,"KONTEXTUELLE INKOMPATIBILITÄT: Das Quell-Konzept 'Bicycle - Standard repair procedures' ist ein PROZESS/VERFAHREN im Kontext einer technischen Dokumentation (S1000D-Standard, Reparaturanleitung für Re"
