s1000d_uri,s1000d_label,s1000d_context,pipeline_selected_uri,pipeline_confidence,pipeline_method,selected_label,selected_context,candidate_1_uri,candidate_1_label,candidate_1_score,candidate_2_uri,candidate_2_label,candidate_2_score,candidate_3_uri,candidate_3_label,candidate_3_score,candidate_4_uri,candidate_4_label,candidate_4_score,candidate_5_uri,candidate_5_label,candidate_5_score,is_match_manual,correct_match_uri,notes
http://my-company.com/s1000d/S1000DBIKE-AAA-D00-0-0-022,Mountain bicycle - Business rules,S1000DBIKE > AAA > D00 > 0 > 0 > 022 > Mountain bicycle - Business rules,NULL,0.95,llm_rejected,,,http://purl.org/ontology/bikeo#Frame,Frame,0.007,http://purl.org/ontology/bikeo#Bike,Bike,0.006,http://purl.org/ontology/bikeo#CommonPart,CommonPart,0.006,http://purl.org/ontology/bikeo#Problem,Problem,0.006,http://purl.org/ontology/bikeo#ChainArea,ChainArea,0.006,,,
http://my-company.com/s1000d/S1000DBIKE-AAA-D00-0-0-041,Bicycle - Description of how it is made,"S1000DBIKE > AAA > D00 > 0 > 0 > 041 > Bicycle - Description of how it is made | TPSMG UK, 2003-2010 Government License - TPSMG 001 A bicycle (refer to )
is a frame and a number of movable components ",http://purl.org/ontology/bikeo#Bike,0.95,llm_reranking,Bike,Bike | A bike or bicycle is a two-wheeled steerable machine that is pedaled by the rider’s feet. | sameAs: vso:Bicycle,http://purl.org/ontology/bikeo#Frame,Frame,0.012,http://purl.org/ontology/bikeo#ChainArea,ChainArea,0.012,http://purl.org/ontology/bikeo#Bike,Bike,0.006,http://purl.org/ontology/bikeo#CommonPart,CommonPart,0.006,http://purl.org/ontology/bikeo#Problem,Problem,0.006,,,
http://my-company.com/s1000d/S1000DBIKE-AAA-D00-0-0-042,Bicycle - Description of function,"S1000DBIKE > AAA > D00 > 0 > 0 > 042 > Bicycle - Description of function | TPSMG UK, 2003-2010 Government License - TPSMG 001 Below is a list of the different bicycle components and a functional
descr",http://purl.org/ontology/bikeo#Bike,0.95,llm_reranking,Bike,Bike | A bike or bicycle is a two-wheeled steerable machine that is pedaled by the rider’s feet. | sameAs: vso:Bicycle,http://purl.org/ontology/bikeo#Frame,Frame,0.012,http://purl.org/ontology/bikeo#Bike,Bike,0.012,http://purl.org/ontology/bikeo#ChainArea,ChainArea,0.012,http://purl.org/ontology/bikeo#CommonPart,CommonPart,0.006,http://purl.org/ontology/bikeo#Problem,Problem,0.006,,,
http://my-company.com/s1000d/S1000DBIKE-AAA-D00-0-0-043,Bicycle - Description attributed to crew,"S1000DBIKE > AAA > D00 > 0 > 0 > 043 > Bicycle - Description attributed to crew | TPSMG UK, 2003-2010 Government License - TPSMG 001 Data about the bicycle and its control system is given in this docu",http://purl.org/ontology/bikeo#Bike,0.95,llm_reranking,Bike,Bike | A bike or bicycle is a two-wheeled steerable machine that is pedaled by the rider’s feet. | sameAs: vso:Bicycle,http://purl.org/ontology/bikeo#Frame,Frame,0.012,http://purl.org/ontology/bikeo#ChainArea,ChainArea,0.012,http://purl.org/ontology/bikeo#Bike,Bike,0.006,http://purl.org/ontology/bikeo#CommonPart,CommonPart,0.006,http://purl.org/ontology/bikeo#Problem,Problem,0.006,,,
http://my-company.com/s1000d/S1000DBIKE-AAA-D00-0-0-121,Bicycle - Pre-operation procedures (crew),"S1000DBIKE > AAA > D00 > 0 > 0 > 121 > Bicycle - Pre-operation procedures (crew) | TPSMG UK, 2003-2010 Government License - TPSMG 001 Examine the condition of the brakes. Open the brake quick release.",NULL,0.95,llm_rejected,,,http://purl.org/ontology/bikeo#Frame,Frame,0.012,http://purl.org/ontology/bikeo#ChainArea,ChainArea,0.012,http://purl.org/ontology/bikeo#Bike,Bike,0.006,http://purl.org/ontology/bikeo#CommonPart,CommonPart,0.006,http://purl.org/ontology/bikeo#Problem,Problem,0.006,,,
http://my-company.com/s1000d/S1000DBIKE-AAA-D00-0-0-131,Bicycle - Normal operation procedures (crew),"S1000DBIKE > AAA > D00 > 0 > 0 > 131 > Bicycle - Normal operation procedures (crew) | TPSMG UK, 2003-2010 Government License - TPSMG 001 Pads Free of unwanted material Pads Acceptable pad width Pads A",NULL,0.95,llm_rejected,,,http://purl.org/ontology/bikeo#Frame,Frame,0.007,http://purl.org/ontology/bikeo#Bike,Bike,0.006,http://purl.org/ontology/bikeo#CommonPart,CommonPart,0.006,http://purl.org/ontology/bikeo#Problem,Problem,0.006,http://purl.org/ontology/bikeo#ChainArea,ChainArea,0.006,,,
http://my-company.com/s1000d/S1000DBIKE-AAA-D00-0-0-151,Bicycle - Post-operation procedures (crew),"S1000DBIKE > AAA > D00 > 0 > 0 > 151 > Bicycle - Post-operation procedures (crew) | TPSMG UK, 2003-2010 Government License - TPSMG 001 Clean the bicycle. Clean the bicycle with water. Use the brush fr",NULL,0.95,llm_rejected,,,http://purl.org/ontology/bikeo#Frame,Frame,0.012,http://purl.org/ontology/bikeo#ChainArea,ChainArea,0.012,http://purl.org/ontology/bikeo#Bike,Bike,0.006,http://purl.org/ontology/bikeo#CommonPart,CommonPart,0.006,http://purl.org/ontology/bikeo#Problem,Problem,0.006,,,
http://my-company.com/s1000d/S1000DBIKE-AAA-D00-0-0-258,Bicycle - Other procedures to clean,"S1000DBIKE > AAA > D00 > 0 > 0 > 258 > Bicycle - Other procedures to clean | TPSMG UK, 2003-2010 Government License - TPSMG 001 Do not get 
 into your eyes. If it gets 
into your eyes, wash them immed",NULL,0.95,llm_rejected,,,http://purl.org/ontology/bikeo#Frame,Frame,0.012,http://purl.org/ontology/bikeo#Bike,Bike,0.006,http://purl.org/ontology/bikeo#CommonPart,CommonPart,0.006,http://purl.org/ontology/bikeo#Problem,Problem,0.006,http://purl.org/ontology/bikeo#ChainArea,ChainArea,0.006,,,
http://my-company.com/s1000d/S1000DBIKE-AAA-D00-0-0-330,Bicycle - Place on test stand,"S1000DBIKE > AAA > D00 > 0 > 0 > 330 > Bicycle - Place on test stand | TPSMG UK, 2003-2010 Government License - TPSMG 001 Ensure  is level. Place bicycle on the test stand. Tight clamps until bicycle ",NULL,0.95,llm_rejected,,,http://purl.org/ontology/bikeo#Frame,Frame,0.007,http://purl.org/ontology/bikeo#Bike,Bike,0.006,http://purl.org/ontology/bikeo#CommonPart,CommonPart,0.006,http://purl.org/ontology/bikeo#Problem,Problem,0.006,http://purl.org/ontology/bikeo#canyon-enduraceon-7-2022,Canyon Endurace:ON 7 2022,0.006,,,
http://my-company.com/s1000d/S1000DBIKE-AAA-D00-0-0-663,Bicycle - Standard repair procedures,"S1000DBIKE > AAA > D00 > 0 > 0 > 663 > Bicycle - Standard repair procedures | TPSMG UK, 2003-2010 Government License - TPSMG 001 When you remove the rear wheel to repair a puncture, disconnect the bra",NULL,0.95,llm_rejected,,,http://purl.org/ontology/bikeo#ChainArea,ChainArea,0.012,http://purl.org/ontology/bikeo#Frame,Frame,0.007,http://purl.org/ontology/bikeo#Bike,Bike,0.006,http://purl.org/ontology/bikeo#CommonPart,CommonPart,0.006,http://purl.org/ontology/bikeo#Problem,Problem,0.006,,,
